Num,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502
DOI,10.1016/j.ceramint.2013.10.055,10.1016/j.ceramint.2013.10.055,10.1007/s10570-014-0274-7,10.1007/s10570-014-0274-7,10.1007/s10570-014-0274-7,10.1007/s12039-013-0539-y,10.1016/j.ceramint.2013.10.055,10.1016/j.ceramint.2013.10.055,10.1007/s12039-013-0539-y,10.1007/s12039-013-0539-y,10.1007/s12039-013-0539-y,10.1007/s12039-013-0539-y,10.1016/j.jpcs.2010.04.015,10.1016/j.jpcs.2010.04.015,10.1007/s10570-014-0274-7,10.1002/elan.201100561,10.1002/elan.201100561,10.1002/elan.201100561,10.1016/j.jallcom.2009.07.030,10.1016/j.jallcom.2009.07.030,10.1016/j.jallcom.2009.07.030,10.1016/j.jallcom.2009.07.030,10.1016/j.jallcom.2009.07.030,10.1002/elan.201100561,10.1002/chem.201202127,10.1002/chem.201202127,10.1039/c3ta12603j,10.1039/c3ta12603j,10.1039/c3ta12603j,10.1016/j.ceramint.2015.12.160,10.1039/c7ra01081h,10.1039/c7ra01081h,10.1039/c7ra01081h,10.1039/c7ra01081h,10.1039/c7ra01081h,10.1039/c7ra01081h,10.1016/j.electacta.2015.01.179,10.1016/j.electacta.2015.01.179,10.1016/j.apsusc.2016.12.220,10.1016/j.electacta.2015.01.179,10.1016/j.apsusc.2016.12.220,10.1016/j.apsusc.2016.12.220,10.1016/j.ceramint.2015.12.160,10.1016/j.ceramint.2015.12.160,10.1016/j.mee.2013.01.051,10.1016/j.mee.2013.01.051,10.1016/j.mee.2013.01.051,10.1016/j.mee.2013.01.051,10.1016/j.mee.2013.01.051,10.1016/j.mee.2013.01.051,10.1016/j.ijhydene.2016.03.202,10.1016/j.ijhydene.2016.03.202,10.1016/j.ijhydene.2016.03.202,10.1016/j.mee.2013.01.051,10.1016/j.mee.2013.01.051,10.1016/j.jpowsour.2006.12.037,10.1016/j.ssi.2007.11.005,10.1016/j.jallcom.2015.01.182,10.1016/j.jallcom.2015.01.182,10.1016/j.jpowsour.2006.12.037,10.1016/j.jpowsour.2006.12.037,10.1016/j.jpowsour.2006.12.037,10.1002/celc.201402247,10.1016/j.ssi.2007.11.005,10.1002/celc.201402247,10.1016/j.jallcom.2015.01.182,10.1016/j.jpowsour.2006.12.037,10.1016/j.jpowsour.2015.02.059,10.1016/j.jpowsour.2015.02.059,10.1016/j.jpowsour.2015.02.059,10.1016/j.jpowsour.2015.02.059,10.1016/j.jpowsour.2015.02.059,10.1039/c5ra17026e,10.1007/s10853-016-0579-z,10.1039/c5ra17026e,10.1007/s10853-016-0579-z,10.1016/j.electacta.2011.07.008,10.1007/s10854-016-4457-x,10.1016/j.electacta.2011.07.008,10.1016/j.electacta.2011.07.008,10.1016/j.electacta.2011.07.008,10.1007/s10854-016-4457-x,10.1007/s10854-016-4457-x,10.1007/s10854-016-4457-x,10.1007/s10854-016-4457-x,10.1007/s10854-016-4457-x,10.1039/c2ee22591c,10.1016/j.ssi.2014.03.028,10.1016/j.jallcom.2016.09.025,10.1016/j.jallcom.2016.09.025,10.1016/j.ssi.2014.03.028,10.1039/c2ee22591c,10.1016/j.jallcom.2016.09.025,10.1016/j.jallcom.2016.09.025,10.1016/j.jpowsour.2015.01.124,10.1016/j.jpowsour.2015.01.124,10.1016/j.electacta.2014.03.120,10.1016/j.electacta.2014.03.120,10.1016/j.jelechem.2014.08.011,10.1016/j.jelechem.2014.08.011,10.1016/j.jpowsour.2015.01.124,10.1039/c5ra02129d,10.1039/c5ra02129d,10.1039/c5ra02129d,10.1016/j.electacta.2014.03.120,10.1016/j.jpowsour.2015.01.124,10.1016/j.jelechem.2014.08.011,10.1039/c5ra02129d,10.1002/er.3339,10.1016/j.jallcom.2017.09.020,10.1016/j.jallcom.2017.09.020,10.1016/j.jallcom.2017.09.020,10.1016/j.jallcom.2017.09.020,10.1007/s10854-016-4882-x,10.1016/j.electacta.2010.12.063,10.1016/j.electacta.2010.12.063,10.1016/j.electacta.2010.12.063,10.1016/j.electacta.2010.12.063,10.1016/j.electacta.2010.12.063,10.1002/er.3339,10.1002/er.3339,10.1016/j.electacta.2014.08.028,10.1016/j.apsusc.2013.03.145,10.1016/j.apsusc.2013.03.145,10.1016/j.electacta.2014.08.028,10.1016/j.electacta.2014.08.028,10.1016/j.electacta.2013.11.090,10.1016/j.electacta.2014.11.086,10.1039/c5ta00435g,10.1039/c5ta00435g,10.1039/c5ta00435g,10.1039/c5ta07965a,10.1039/c5ta07965a,10.1039/c5ta07965a,10.1016/j.electacta.2014.11.142,10.1016/j.electacta.2014.11.142,10.1007/s10008-013-2301-2,10.1016/j.electacta.2013.11.090,10.1002/adma.201506014,10.1016/j.jallcom.2015.06.270,10.1016/j.jallcom.2015.06.270,10.1016/j.jpowsour.2014.10.027,10.1016/j.jpowsour.2014.10.027,10.1007/s10008-009-0825-2,10.1007/s10008-009-0825-2,10.1016/j.jpowsour.2015.05.117,10.1016/j.jpowsour.2015.05.117,10.1016/j.jpowsour.2015.05.117,10.1016/j.jpowsour.2015.05.117,10.1002/adma.201506014,10.1016/j.electacta.2013.04.162,10.1016/j.electacta.2015.02.187,10.1016/j.electacta.2015.02.187,10.1016/j.electacta.2015.02.187,10.1016/j.jpowsour.2014.07.098,10.1016/j.jpowsour.2014.07.098,10.1016/j.jpowsour.2014.07.098,10.1016/j.electacta.2013.04.162,10.1016/j.electacta.2013.04.162,10.1007/s11581-014-1175-3,10.1007/s11581-016-1933-5,10.1007/s11581-016-1933-5,10.1016/j.mseb.2014.01.015,10.1016/j.mseb.2014.01.015,10.1016/j.electacta.2014.12.145,10.1016/j.electacta.2014.12.145,10.1016/j.electacta.2014.12.145,10.1007/s11581-014-1175-3,10.1016/j.jpowsour.2012.04.090,10.1039/c5ta02674a,10.1039/c5ta02674a,10.1039/c5ta02674a,10.1039/c5ta02674a,10.1016/j.jallcom.2012.10.090,10.1016/j.jallcom.2012.10.090,10.1016/j.jallcom.2012.10.090,10.1016/j.electacta.2013.01.081,10.1016/j.ceramint.2017.09.206,10.1007/s10008-008-0560-0,10.1016/j.jallcom.2015.06.270,10.1016/j.jallcom.2015.06.270,10.1016/j.jpowsour.2014.10.027,10.1016/j.jpowsour.2014.10.027,10.1007/s10008-009-0825-2,10.1007/s10008-009-0825-2,10.1016/j.jpowsour.2015.05.117,10.1016/j.jpowsour.2015.05.117,10.1016/j.jpowsour.2015.05.117,10.1016/j.jpowsour.2015.05.117,10.1002/adma.201506014,10.1002/adma.201506014,10.1007/s10008-012-1864-7,10.1007/s10008-012-1864-7,10.1016/j.electacta.2011.07.079,10.1016/j.electacta.2011.07.079,10.1007/s10008-014-2411-5,10.1007/s10008-014-2411-5,10.1007/s11581-015-1536-6,10.1007/s10008-014-2411-5,10.1007/s10008-014-2411-5,10.1007/s10008-014-2411-5,10.1007/s10008-014-2411-5,10.1007/s10008-014-2411-5,10.1007/s10008-014-2411-5,10.1007/s11581-015-1536-6,10.1007/s11581-015-1536-6,10.1007/s11581-015-1536-6,10.1016/j.jallcom.2010.10.083,10.1016/j.electacta.2015.03.138,10.1016/j.jallcom.2014.08.036,10.1016/j.jallcom.2014.08.036,10.1016/j.jallcom.2014.08.036,10.1016/j.jallcom.2014.08.036,10.1016/j.jallcom.2014.08.036,10.1016/j.jallcom.2014.08.036,10.1016/j.electacta.2014.04.183,10.1016/j.electacta.2014.04.183,10.1016/j.jallcom.2010.10.083,10.1016/j.jallcom.2010.10.083,10.1016/j.electacta.2010.02.018,10.1016/j.electacta.2010.02.018,10.1016/j.electacta.2010.02.018,10.1016/j.electacta.2016.01.039,10.1016/j.electacta.2016.01.039,10.1007/s11771-014-2219-6,10.1007/s11771-014-2219-6,10.1007/s11771-014-2219-6,10.1007/s11771-014-2219-6,10.1016/j.electacta.2010.02.018,10.1016/j.electacta.2010.02.018,10.1016/j.electacta.2010.02.018,10.1016/j.electacta.2010.02.018,10.1016/j.electacta.2010.02.018,10.1016/j.electacta.2010.02.018,10.1007/s11581-015-1585-x,10.1016/j.jallcom.2015.06.071,10.1016/j.jallcom.2015.06.071,10.1002/celc.201402210,10.1002/celc.201402210,10.1002/celc.201402210,10.1007/s11581-015-1585-x,10.1007/s11581-015-1585-x,10.1007/s11581-015-1585-x,10.1016/j.ssi.2013.05.022,10.1016/j.ssi.2013.05.022,10.1016/j.jpowsour.2016.10.107,10.1016/j.jpowsour.2016.10.107,10.1039/c5ra14376d,10.1039/c5ra14376d,10.1016/j.ssi.2015.12.017,10.1016/j.ssi.2015.12.017,10.1016/j.ssi.2013.05.022,10.1016/j.ssi.2013.05.022,10.1016/j.jallcom.2015.02.032,10.1016/j.jallcom.2015.02.032,10.1016/j.jallcom.2015.02.032,10.1016/j.electacta.2013.12.183,10.1016/j.electacta.2013.12.183,10.1016/j.jpowsour.2012.10.065,10.1016/j.jpowsour.2012.10.065,10.1016/j.jpowsour.2012.10.065,10.1016/j.jpowsour.2012.10.065,10.1016/j.jpowsour.2012.10.065,10.1016/j.jallcom.2015.01.292,10.1016/j.jallcom.2015.01.292,10.1016/j.electacta.2013.09.002,10.1016/j.electacta.2013.09.002,10.1016/j.electacta.2013.09.002,10.1016/j.electacta.2013.09.002,10.1016/j.electacta.2013.09.002,0.1016/j.jpowsour.2012.05.039,10.1016/j.ssi.2016.04.024,10.1016/j.jallcom.2015.08.114,10.1016/j.jallcom.2015.08.114,10.1016/j.jallcom.2015.08.114,10.1016/j.jallcom.2015.08.114,10.1016/j.electacta.2017.03.155,10.1016/j.electacta.2017.03.155,10.1016/j.electacta.2017.03.155,10.1016/j.electacta.2017.03.155,10.1016/j.electacta.2017.03.155,10.1039/c3ta13616g,10.1039/c3ta13616g,10.1039/c3ta13616g,10.1016/j.powtec.2015.09.031,10.1016/j.powtec.2015.09.031,10.1016/j.ssi.2013.08.018,10.1016/j.ssi.2013.08.018,10.1016/j.ssi.2013.08.018,10.1016/j.ssi.2013.08.018,10.1016/j.ssi.2013.08.018,10.1016/j.ssi.2013.08.018,10.1016/j.ssi.2013.08.018,10.1016/j.ssi.2013.08.018,10.1039/c4ra10825f,10.1016/j.electacta.2006.02.053,10.1016/j.electacta.2006.02.053,10.1016/j.electacta.2006.02.053,10.1016/j.electacta.2006.02.053,10.1016/j.electacta.2006.02.053,10.1039/c2nr32758a,10.1039/c2nr32758a,10.1016/j.jpcs.2016.02.012,10.1016/j.jpcs.2016.02.012,10.1039/c4ra10825f,10.1039/c4ra10825f,10.1007/s11581-012-0821-x,10.1016/j.jpowsour.2007.08.098,10.1016/j.elecom.2006.10.008,10.1016/j.elecom.2006.10.008,10.1016/j.apsusc.2013.03.145,10.1016/j.apsusc.2013.03.145,10.1016/j.apsusc.2013.03.145,10.1016/j.ssi.2016.01.003,10.1016/j.electacta.2014.11.034,10.1016/j.electacta.2014.11.034,10.1016/j.electacta.2014.11.034,10.1016/j.electacta.2014.11.034,10.1007/s11581-012-0821-x,10.1016/j.electacta.2008.10.037,10.1016/j.jallcom.2015.05.016,10.1016/j.jallcom.2015.05.016,10.1016/j.jallcom.2015.05.016,10.1016/j.jallcom.2015.05.016,10.1016/j.jallcom.2015.05.016,10.1016/j.electacta.2015.05.055,10.1016/j.electacta.2015.05.055,10.1016/j.electacta.2015.05.055,10.1007/s12540-009-0615-5,10.1016/j.jpowsour.2013.10.137,10.1016/j.jpowsour.2013.10.137,10.1016/j.jpowsour.2014.01.063,10.1016/j.jallcom.2006.03.003,10.1021/am503995s |,10.1021/am503995s |,10.1002/adma.201506014,10.1002/adma.201506014,10.1016/j.cej.2017.05.046,10.1016/j.cej.2017.05.046,10.1016/j.jpowsour.2015.05.018,10.1016/j.electacta.2016.01.105,10.1016/j.electacta.2016.01.105,10.1016/j.electacta.2007.11.062,10.1016/j.electacta.2009.11.082,10.1016/j.electacta.2009.11.082,10.1016/j.ssi.2013.09.002,10.1016/j.ssi.2013.09.002,10.1016/j.ssi.2013.09.002,10.1007/s11595-009-3347-y,10.1039/c4ra15303k,10.1039/c4ra15303k,10.1016/j.ssi.2011.02.013,10.1016/j.ssi.2011.02.013,10.1016/j.ssi.2011.02.013,10.1016/j.ssi.2011.02.013,10.1016/j.electacta.2016.07.080,10.1016/j.jallcom.2008.01.143,10.1016/j.jallcom.2008.01.143,10.1016/j.electacta.2015.09.002,10.1016/j.electacta.2015.09.002,10.1016/j.electacta.2015.09.002,10.1002/smll.201500919,10.1002/smll.201500919,10.1016/j.jallcom.2013.10.167,10.1016/j.jallcom.2013.10.167,10.1007/s12274-014-0601-1,10.1007/s12274-014-0601-1,10.1007/s12274-014-0601-1,10.1039/c6ta03083a,10.1039/c6ta03083a,10.1016/j.matlet.2016.08.118,10.1016/j.matlet.2016.08.118,10.1016/j.matlet.2016.08.118,10.1016/j.matlet.2016.08.118,10.1039/c3ra23032e,10.1016/j.electacta.2010.12.109,10.1016/j.electacta.2010.12.109,10.1016/j.jpowsour.2012.09.014,10.1016/j.jpowsour.2012.09.014,10.1016/j.jpowsour.2012.09.014,10.1039/c4nj01169d,10.1039/c4nj01169d,10.1002/cssc.201500027,10.1002/cssc.201500027,10.1002/cssc.201500027,10.1002/cssc.201500027,10.1007/s11581-015-1606-9,10.1007/s11581-015-1606-9,10.1007/s11581-015-1606-9,10.1007/s11581-015-1606-9,10.1007/s11581-015-1606-9,10.1007/s11581-015-1606-9,10.1007/s11581-015-1606-9,10.1007/s11581-015-1606-9,10.1007/s11581-015-1606-9,10.1007/s11581-015-1606-9,10.1007/s10008-012-1744-1,10.1007/s10008-012-1744-1,10.1016/j.jpowsour.2014.05.122,10.1016/j.cclet.2014.09.002,10.1016/j.cclet.2014.09.002,10.1016/j.jallcom.2014.10.100,10.1016/j.jallcom.2014.10.100,10.1016/j.synthmet.2010.11.015,10.1016/j.synthmet.2010.11.015,10.1007/s10853-009-4057-8,10.1007/s10853-009-4057-8,10.1007/s10853-009-4057-8,10.1007/s10853-009-4057-8,10.1016/j.jpowsour.2014.05.122,10.1016/j.jpowsour.2014.05.122,10.1016/j.jpowsour.2014.05.122,10.1039/c4ta05902f,10.1039/c4ta05902f,10.1016/j.electacta.2016.04.180,10.1016/j.matchemphys.2008.05.013,10.1016/j.matchemphys.2008.05.013,10.1016/S1002-0721(17)60991-8,10.1016/S1002-0721(17)60991-8,10.1016/S1002-0721(17)60991-8,10.1016/j.jpowsour.2015.05.018,10.1016/j.electacta.2014.10.133,10.1016/j.electacta.2014.10.133,10.1016/j.electacta.2014.10.133,10.1039/c4ta04891a,10.1039/c4ta04891a,10.1039/c4ta04891a,10.1007/s11581-012-0768-y,10.1007/s11581-012-0768-y,10.1016/j.mseb.2012.11.016,10.1016/j.mseb.2012.11.016,10.1007/s10853-017-0767-5,10.1007/s10853-017-0767-5,10.1007/s11051-015-3284-y,10.1007/s11051-015-3284-y,10.1039/c4ta07220k,10.1016/j.jpowsour.2015.02.120,10.1016/j.jpowsour.2015.02.120,10.1016/j.jpowsour.2015.02.120,10.1039/c4ta06361a,10.1039/c4ta06361a,j.jpowsour.2011.12.012,j.jpowsour.2011.12.012,10.1039/c4ra09813g,10.1039/c4ra09813g,10.1007/s10008-007-0480-4,10.1007/s10008-007-0480-4,10.1007/s10008-007-0480-4,10.1007/s10008-007-0480-4,10.1016/j.jpowsour.2014.12.131,10.1016/j.jpowsour.2014.12.131,10.1016/j.jpowsour.2014.12.131,10.1016/j.jpowsour.2014.12.131,10.1039/c6ra19938k,10.1039/c6ra19938k,10.1039/c6ra19938k,10.1016/j.physe.2017.08.005,10.1039/c5ta07965a,10.1039/c5ta07965a,10.1039/c5ta07965a,10.1007/s10854-016-5739-z,10.1016/j.physe.2017.08.005,10.1016/j.physe.2017.08.005,10.1007/s10854-017-8234-2,10.1016/j.jpowsour.2015.05.062,10.1016/j.jpowsour.2015.05.062,10.1016/j.ceramint.2015.12.098,10.1016/j.ceramint.2015.12.098,10.1016/j.ceramint.2015.12.098,10.1016/j.ceramint.2015.12.098,10.1007/s10854-017-8234-2,10.1007/s10854-017-8234-2,10.1007/s10854-017-8234-2,10.1021/am500464n |,10.1021/am500464n |,10.1016/j.surfcoat.2017.01.006,10.1016/j.surfcoat.2017.01.006,10.1016/j.ijhydene.2017.10.140,10.1007/s11581-016-1655-8,10.1007/s11581-016-1655-8,10.1007/s11581-016-1655-8,10.1007/s11581-016-1655-8,10.1016/j.electacta.2015.02.002,10.1016/j.electacta.2015.02.002,10.1016/j.electacta.2016.10.168,10.3390/ma9110912,10.3390/ma9110912,10.3390/ma9110912,10.1016/j.electacta.2011.03.105,10.1016/j.electacta.2011.03.105,10.1016/j.electacta.2011.03.105,10.1016/j.matchemphys.2015.08.053,10.1016/j.matchemphys.2015.08.053,10.1007/s10008-012-1907-0,10.1016/j.cej.2014.04.006,10.1016/j.cej.2016.10.016,10.1016/j.cej.2016.10.016,10.1016/j.electacta.2015.01.012,10.1016/j.electacta.2015.01.012,10.1016/j.electacta.2015.01.012,10.1016/j.carbon.2012.03.029,10.1016/j.carbon.2012.03.029
Type,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
